freq,C4,C3,CZ,1-2C_R,1-2B_R,1-2A_R,2C-3C_R,2B-3B_R,2A-3A_R,4-3C_R,4-3B_R,4-3A_R,1-2C_L,1-2B_L,1-2A_L,2C-3C_L,2B-3B_L,2A-3A_L,4-3C_L,4-3B_L,4-3A_L
1.0,1.6495561243115133e-11,2.211669634787976e-11,1.766224639841066e-11,1.3482669139169275e-11,2.3626038935302674e-11,1.8002127217864377e-11,1.087048543285761e-11,1.7268633357362583e-11,2.1980150947602494e-11,6.380862574514248e-12,3.069544369432127e-12,8.960833830465806e-12,3.6382517093448914e-11,3.931676175503006e-11,3.939078062375389e-11,7.924846431888097e-12,1.16824449879043e-11,3.1265098902523313e-12,5.671931880981842e-12,5.4076304702043755e-12,1.8338304138044742e-12
1.25,1.0785167411493291e-11,1.1375985958871262e-11,1.394206297633169e-11,2.6675131792242215e-11,4.137256530317322e-11,2.6340109033111902e-11,8.966887637615048e-11,4.011812019787197e-11,2.551400455362927e-10,4.4032966457549225e-11,1.6973869552579e-11,5.7437133669287935e-11,1.3304272144425828e-11,6.687251461460965e-11,8.845206796699509e-11,1.4470549212593201e-11,1.4469521592023736e-10,6.389812355744317e-11,2.857436887106711e-11,1.5450594505548556e-11,1.0006276540573187e-11
1.5,8.142870728980682e-12,6.642431907755815e-12,1.3383253102860553e-11,4.7481956968902584e-11,5.839978772544098e-11,4.1272089578557825e-11,1.9386662732700274e-10,6.809186556172356e-11,4.20714124125184e-10,7.718316669401406e-11,3.7509620975185024e-11,1.00527350230965e-10,9.027023391221133e-12,1.241326091318703e-10,1.7000299580712126e-10,1.9129504322670947e-11,2.9121425884116145e-10,1.3758759215789246e-10,5.1678744870963736e-11,2.5242664075351867e-11,2.1154996060112696e-11
1.75,4.919083457958893e-12,4.9570217555166505e-12,5.110964404149666e-12,6.456891483910074e-12,1.1793330405825535e-11,1.658253211972579e-11,2.0589793681579577e-11,1.2534396571212429e-11,3.9586045850568906e-11,8.753235225725738e-12,3.732387778328049e-12,1.3554899392402815e-11,2.480275813082115e-12,1.115361063394509e-11,1.4826916990608333e-11,6.334918528496195e-12,2.7379035459790914e-11,1.187751490070147e-11,7.742717299587493e-12,5.9608875950313505e-12,2.7224023649243888e-12
2.0,3.642647860866707e-12,3.544378890535898e-12,3.503599440132822e-12,2.667273798171887e-12,5.483437106300533e-12,9.318559941370539e-12,2.5426187578054382e-12,4.157890098805673e-12,7.439889698675844e-12,1.35393462884821e-12,6.606364299715882e-13,3.725984708847859e-12,1.334266539304911e-12,1.8625789176303576e-12,1.6900867102091809e-12,3.1633234355852044e-12,4.333467043298739e-12,5.56718485564134e-13,2.5174848880753125e-12,2.7805730202603947e-12,5.348223843435293e-13
2.25,3.6173823265708525e-12,2.9616700078567014e-12,3.640148023391566e-12,1.941701213997401e-12,4.1068097533489435e-12,5.026956873659361e-12,1.4438349057965513e-12,3.4104331226549816e-12,4.65253288332652e-12,7.954475901508922e-13,5.75813104312009e-13,2.1198773250972064e-12,9.73179949077131e-13,1.2691144468093515e-12,1.0772671554642653e-12,1.9225271695258987e-12,2.9636417393579025e-12,4.668726429866955e-13,1.3560733665985469e-12,1.7516125693027674e-12,4.859707403654978e-13
2.5,2.8362783131377033e-12,3.0417834100985092e-12,3.3230094000324176e-12,1.680111917156477e-12,3.201415539020447e-12,3.733220675717494e-12,1.8527548618027547e-12,2.2048875188197125e-12,4.812554084696393e-12,8.158694419908598e-13,6.979142566961505e-13,1.970364386340991e-12,7.806020332034183e-13,1.2124739156580597e-12,1.015472038499022e-12,1.6042110886313942e-12,3.0648396682267926e-12,7.434819035006783e-13,1.136064871338581e-12,1.5515955450201197e-12,4.3880938476063133e-13
2.75,2.2251907562475592e-12,2.163288491168952e-12,2.8458740029654596e-12,7.94597481060181e-12,4.58108269617137e-12,6.142632339606594e-12,1.2072440368096114e-11,4.721518338343726e-12,1.5820409938056726e-11,3.4981563652883455e-12,3.010537663057974e-12,4.312460039178572e-12,8.394326432907237e-13,3.2436759016315837e-12,4.14305857301467e-12,2.1625756796206105e-12,1.1630061748554363e-11,5.7714668114427546e-12,3.0245939587302823e-12,3.2531093804714444e-12,5.844799982857136e-13
3.0,2.6146195425353228e-12,2.126836711368837e-12,2.8758828965363376e-12,7.45839568381709e-12,4.32157234752477e-12,5.4357657250997184e-12,1.2179703070740076e-11,5.003790227084603e-12,1.0336348982733773e-11,2.7333416446866977e-12,3.3165746914579637e-12,3.473601036077085e-12,8.265059198632871e-13,3.1933925159268455e-12,4.08294116187118e-12,1.6840996090743874e-12,9.77826195521831e-12,5.821113239296412e-12,2.520306762972586e-12,2.5807929429860674e-12,6.256355907474649e-13
3.25,1.930158432016792e-12,1.7415159600276845e-12,2.153518449264206e-12,1.2073444343674138e-12,1.5744548180130156e-12,2.4740408089668833e-12,1.2320477628150762e-12,1.076239478191507e-12,1.86007505935859e-12,3.6177104581161033e-13,4.699463843064012e-13,9.704679551193603e-13,5.508321892764694e-13,9.163317507061832e-13,4.750822118446327e-13,7.701955861092886e-13,1.4904859232180947e-12,5.623422530532675e-13,5.184546994641233e-13,7.537156002091939e-13,3.283267861410596e-13
